
carediolgy	["[('cardiology', 0.9), ('cardiology]', 0.9), ('cardiology\\\\', 0.9), ('cardiology;', 0.9)]"]	cardiology	Changed	{'Corrected - Using MultiEdit Probable Candidates [carediolgy ==> cardiology]'}
trachiotomy	["[('tracheotomy', 8.7921363132814e-06)]"]	tracheotomy	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [trachiotomy ==> tracheotomy]'}
responsvie	["[('responsive', 1.6212664766272145e-06)]"]	responsive	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [responsvie ==> responsive]'}
responsvie	["[('responsive', 1.6212664766272145e-06)]"]	responsive	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [responsvie ==> responsive]'}
responsvie	["[('responsive', 1.6212664766272145e-06)]"]	responsive	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [responsvie ==> responsive]'}
responsvie	["[('responsive', 1.6212664766272145e-06)]"]	responsive	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [responsvie ==> responsive]'}
responsvie	["[('responsive', 1.6212664766272145e-06)]"]	responsive	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [responsvie ==> responsive]'}
intubwted	["[('intubated', 0.9), ('intubated.', 0.9), ('intubated,', 0.9), ('intubated)', 0.9)]"]	intubated	Changed	{'Corrected - Using MultiEdit Probable Candidates [intubwted ==> intubated]'}
sunglottic	["[('subglottic', 5.674432668195251e-06)]"]	subglottic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [sunglottic ==> subglottic]'}
laternatively	["[('alternatively', 1.4653560522135668e-05)]"]	alternatively	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [laternatively ==> alternatively]'}
pylenonephritis	["[('pyelonephritis', 0.9), ('pyelonephritis.', 0.9), ('pyelonephritis,', 0.9), ('pyelonephritis)', 0.9)]"]	pyelonephritis	Changed	{'Corrected - Using MultiEdit Probable Candidates [pylenonephritis ==> pyelonephritis]'}
pylenonephritis	["[('pyelonephritis', 0.9), ('pyelonephritis.', 0.9), ('pyelonephritis,', 0.9), ('pyelonephritis)', 0.9)]"]	pyelonephritis	Changed	{'Corrected - Using MultiEdit Probable Candidates [pylenonephritis ==> pyelonephritis]'}
pylenonephritis	["[('pyelonephritis', 0.9), ('pyelonephritis.', 0.9), ('pyelonephritis,', 0.9), ('pyelonephritis)', 0.9)]"]	pyelonephritis	Changed	{'Corrected - Using MultiEdit Probable Candidates [pylenonephritis ==> pyelonephritis]'}
pylenonephritis	["[('pyelonephritis', 0.9), ('pyelonephritis.', 0.9), ('pyelonephritis,', 0.9), ('pyelonephritis)', 0.9)]"]	pyelonephritis	Changed	{'Corrected - Using MultiEdit Probable Candidates [pylenonephritis ==> pyelonephritis]'}
pylenonephritis	["[('pyelonephritis', 0.9), ('pyelonephritis.', 0.9), ('pyelonephritis,', 0.9), ('pyelonephritis)', 0.9)]"]	pyelonephritis	Changed	{'Corrected - Using MultiEdit Probable Candidates [pylenonephritis ==> pyelonephritis]'}
increaseds	[]	increaseds	Same	{'Same- Token Exists in English Vocabulary [increaseds]'}
increaseds	[]	increaseds	Same	{'Same- Token Exists in English Vocabulary [increaseds]'}
qudrant	["[('quadrant', 7.336230806738145e-05)]"]	quadrant	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [qudrant ==> quadrant]'}
qudrant	["[('quadrant', 7.336230806738145e-05)]"]	quadrant	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [qudrant ==> quadrant]'}
qudrant	["[('quadrant', 7.336230806738145e-05)]"]	quadrant	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [qudrant ==> quadrant]'}
noteed	["[('noted', 1.215949857470411e-06)]"]	noted	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [noteed ==> noted]'}
noteed	["[('noted', 1.215949857470411e-06)]"]	noted	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [noteed ==> noted]'}
noteed	["[('noted', 1.215949857470411e-06)]"]	noted	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [noteed ==> noted]'}
noteed	["[('noted', 1.215949857470411e-06)]"]	noted	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [noteed ==> noted]'}
noteed	["[('noted', 1.215949857470411e-06)]"]	noted	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [noteed ==> noted]'}
specil	["[('special', 3.445191262832831e-05)]"]	special	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [specil ==> special]'}
distince	["[('distance', 5.269116049038447e-06)]"]	distance	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [distince ==> distance]'}
distince	["[('distance', 5.269116049038447e-06)]"]	distance	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [distince ==> distance]'}
hypokiinesis	["[('hypokinesis.', 0.9), ('hypokinesis,', 0.9), ('hypokinesia', 0.9), ('hypokinesia.', 0.9)]"]	hypokinesis.	Changed	{'Corrected - Using MultiEdit Probable Candidates [hypokiinesis ==> hypokinesis.]'}
hypokiinesis	["[('hypokinesis.', 0.9), ('hypokinesis,', 0.9), ('hypokinesia', 0.9), ('hypokinesia.', 0.9)]"]	hypokinesis.	Changed	{'Corrected - Using MultiEdit Probable Candidates [hypokiinesis ==> hypokinesis.]'}
hypercholesteromia	["[('hypercholesteremia', 4.0531661915680364e-07)]"]	hypercholesteremia	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [hypercholesteromia ==> hypercholesteremia]'}
hypercholesteromia	["[('hypercholesteremia', 4.0531661915680364e-07)]"]	hypercholesteremia	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [hypercholesteromia ==> hypercholesteremia]'}
hypercholesteromia	["[('hypercholesteremia', 4.0531661915680364e-07)]"]	hypercholesteremia	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [hypercholesteromia ==> hypercholesteremia]'}
hypercholesteromia	["[('hypercholesteremia', 4.0531661915680364e-07)]"]	hypercholesteremia	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [hypercholesteromia ==> hypercholesteremia]'}
hypercholesteromia	["[('hypercholesteremia', 4.0531661915680364e-07)]"]	hypercholesteremia	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [hypercholesteromia ==> hypercholesteremia]'}
supportvie	["[('supportive', 4.0531661915680364e-07)]"]	supportive	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [supportvie ==> supportive]'}
spenomegaly	["[('splenomegaly', 8.511649002292877e-06)]"]	splenomegaly	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [spenomegaly ==> splenomegaly]'}
spenomegaly	["[('splenomegaly', 8.511649002292877e-06)]"]	splenomegaly	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [spenomegaly ==> splenomegaly]'}
spenomegaly	["[('splenomegaly', 8.511649002292877e-06)]"]	splenomegaly	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [spenomegaly ==> splenomegaly]'}
spenomegaly	["[('splenomegaly', 8.511649002292877e-06)]"]	splenomegaly	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [spenomegaly ==> splenomegaly]'}
spenomegaly	["[('splenomegaly', 8.511649002292877e-06)]"]	splenomegaly	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [spenomegaly ==> splenomegaly]'}
antiarrrhythmics	["[('antiarrhythmics', 0.9), ('antiarrhythmic', 0.9), ('anti-arrhythmic', 0.9), ('antiarrhythmia,', 0.9)]"]	antiarrhythmics	Changed	{'Corrected - Using MultiEdit Probable Candidates [antiarrrhythmics ==> antiarrhythmics]'}
antiarrrhythmics	["[('antiarrhythmics', 0.9), ('antiarrhythmic', 0.9), ('anti-arrhythmic', 0.9), ('antiarrhythmia,', 0.9)]"]	antiarrhythmics	Changed	{'Corrected - Using MultiEdit Probable Candidates [antiarrrhythmics ==> antiarrhythmics]'}
reporteldy	["[('reportedly', 2.0514984730989937e-05)]"]	reportedly	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [reporteldy ==> reportedly]'}
reporteldy	["[('reportedly', 2.0514984730989937e-05)]"]	reportedly	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [reporteldy ==> reportedly]'}
reporteldy	["[('reportedly', 2.0514984730989937e-05)]"]	reportedly	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [reporteldy ==> reportedly]'}
reporteldy	["[('reportedly', 2.0514984730989937e-05)]"]	reportedly	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [reporteldy ==> reportedly]'}
reporteldy	["[('reportedly', 2.0514984730989937e-05)]"]	reportedly	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [reporteldy ==> reportedly]'}
myalgais	["[('myalgias', 0.9), ('myalgias.', 0.9), ('myalgias,', 0.9), ('myalgic', 0.9)]"]	myalgias	Changed	{'Corrected - Using MultiEdit Probable Candidates [myalgais ==> myalgias]'}
imapenem	["[('imipenem', 8.106332383136073e-07)]"]	imipenem	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [imapenem ==> imipenem]'}
imapenem	["[('imipenem', 8.106332383136073e-07)]"]	imipenem	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [imapenem ==> imipenem]'}
imapenem	["[('imipenem', 8.106332383136073e-07)]"]	imipenem	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [imapenem ==> imipenem]'}
placemedt	["[('placement', 1.6212664766272145e-06)]"]	placement	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [placemedt ==> placement]'}
transducion	["[('transduction', 1.580734814711534e-05)]"]	transduction	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [transducion ==> transduction]'}
supralilar	["[('suprasellar', 0.9), ('supra-linear', 0.9), ('suprailiac', 0.9), ('supraclavicular', 0.9)]"]	suprasellar	Changed	{'Corrected - Using MultiEdit Probable Candidates [supralilar ==> suprasellar]'}
neoptlams	["[('neoplams', 0.9), ('neoplasms', 0.9), ('neoplasms»', 0.9), ('neoplasms<', 0.9)]"]	neoplams	Changed	{'Corrected - Using MultiEdit Probable Candidates [neoptlams ==> neoplams]'}
umcomplicated	["[('uncomplicated', 3.0804063055917074e-05)]"]	uncomplicated	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [umcomplicated ==> uncomplicated]'}
umcomplicated	["[('uncomplicated', 3.0804063055917074e-05)]"]	uncomplicated	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [umcomplicated ==> uncomplicated]'}
umcomplicated	["[('uncomplicated', 3.0804063055917074e-05)]"]	uncomplicated	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [umcomplicated ==> uncomplicated]'}
umcomplicated	["[('uncomplicated', 3.0804063055917074e-05)]"]	uncomplicated	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [umcomplicated ==> uncomplicated]'}
umcomplicated	["[('uncomplicated', 3.0804063055917074e-05)]"]	uncomplicated	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [umcomplicated ==> uncomplicated]'}
arimdex	["[('arimidex)', 0.9), ('caridex', 0.9), ('camdex', 0.9), ('arimax', 0.9)]"]	arimidex)	Changed	{'Corrected - Using MultiEdit Probable Candidates [arimdex ==> arimidex)]'}
arimdex	["[('arimidex)', 0.9), ('caridex', 0.9), ('camdex', 0.9), ('arimax', 0.9)]"]	arimidex)	Changed	{'Corrected - Using MultiEdit Probable Candidates [arimdex ==> arimidex)]'}
arimdex	["[('arimidex)', 0.9), ('caridex', 0.9), ('camdex', 0.9), ('arimax', 0.9)]"]	arimidex)	Changed	{'Corrected - Using MultiEdit Probable Candidates [arimdex ==> arimidex)]'}
arimdex	["[('arimidex)', 0.9), ('caridex', 0.9), ('camdex', 0.9), ('arimax', 0.9)]"]	arimidex)	Changed	{'Corrected - Using MultiEdit Probable Candidates [arimdex ==> arimidex)]'}
arimdex	["[('arimidex)', 0.9), ('caridex', 0.9), ('camdex', 0.9), ('arimax', 0.9)]"]	arimidex)	Changed	{'Corrected - Using MultiEdit Probable Candidates [arimdex ==> arimidex)]'}
acrss	["[('across', 8.106332383136073e-07)]"]	across	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [acrss ==> across]'}
acetazolamind	["[('acetazolamide', 0.9), ('acetazolamide;', 0.9), ('acetazolamide:', 0.9), ('acetazolamide.', 0.9)]"]	acetazolamide	Changed	{'Corrected - Using MultiEdit Probable Candidates [acetazolamind ==> acetazolamide]'}
roccuronium	["[('rocuronium', 1.215949857470411e-06)]"]	rocuronium	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [roccuronium ==> rocuronium]'}
sless	["[('less', 2.796684672181945e-05)]"]	less	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [sless ==> less]'}
aroound	["[('around', 1.459139828964493e-05)]"]	around	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [aroound ==> around]'}
aroound	["[('around', 1.459139828964493e-05)]"]	around	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [aroound ==> around]'}
aroound	["[('around', 1.459139828964493e-05)]"]	around	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [aroound ==> around]'}
aroound	["[('around', 1.459139828964493e-05)]"]	around	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [aroound ==> around]'}
aroound	["[('around', 1.459139828964493e-05)]"]	around	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [aroound ==> around]'}
concerntrate	["[('concentrate', 2.026583095784018e-06)]"]	concentrate	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [concerntrate ==> concentrate]'}
demarginization	["[('marginalization', 0.9), ('demagnetization', 0.9), ('margination', 0.9), ('marginalization.', 0.9)]"]	marginalization	Changed	{'Corrected - Using MultiEdit Probable Candidates [demarginization ==> marginalization]'}
demarginization	["[('marginalization', 0.9), ('demagnetization', 0.9), ('margination', 0.9), ('marginalization.', 0.9)]"]	marginalization	Changed	{'Corrected - Using MultiEdit Probable Candidates [demarginization ==> marginalization]'}
hpatic	["[('hepatic', 0.00011956840265125707)]"]	hepatic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [hpatic ==> hepatic]'}
hpatic	["[('hepatic', 0.00011956840265125707)]"]	hepatic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [hpatic ==> hepatic]'}
hpatic	["[('hepatic', 0.00011956840265125707)]"]	hepatic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [hpatic ==> hepatic]'}
retroobital	["[('retro-orbital', 0.9), ('retrocostal', 0.9), ('extraorbital', 0.9), ('retroviral', 0.9)]"]	retro-orbital	Changed	{'Corrected - Using MultiEdit Probable Candidates [retroobital ==> retro-orbital]'}
ferinosl	["[('ferruginol', 0.9), ('fepradinol', 0.9), ('ferns', 0.9), ('fernenol', 0.9)]"]	ferruginol	Changed	{'Corrected - Using MultiEdit Probable Candidates [ferinosl ==> ferruginol]'}
systoilic	["[('systolic', 1.5402031527958537e-05)]"]	systolic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [systoilic ==> systolic]'}
systoilic	["[('systolic', 1.5402031527958537e-05)]"]	systolic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [systoilic ==> systolic]'}
systoilic	["[('systolic', 1.5402031527958537e-05)]"]	systolic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [systoilic ==> systolic]'}
systoilic	["[('systolic', 1.5402031527958537e-05)]"]	systolic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [systoilic ==> systolic]'}
hyyaline	["[('hyaline', 1.1754181955547305e-05)]"]	hyaline	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [hyyaline ==> hyaline]'}
ferriecit	["[('ferric', 0.9), ('ferret', 0.9), ('ferroic', 0.9), ('ferrite', 0.9)]"]	ferric	Changed	{'Corrected - Using MultiEdit Probable Candidates [ferriecit ==> ferric]'}
claoric	["[('caloric', 3.6478495724112327e-06)]"]	caloric	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [claoric ==> caloric]'}
claoric	["[('caloric', 3.6478495724112327e-06)]"]	caloric	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [claoric ==> caloric]'}
claoric	["[('caloric', 3.6478495724112327e-06)]"]	caloric	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [claoric ==> caloric]'}
claoric	["[('caloric', 3.6478495724112327e-06)]"]	caloric	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [claoric ==> caloric]'}
claoric	["[('caloric', 3.6478495724112327e-06)]"]	caloric	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [claoric ==> caloric]'}
ankld	["[('ankle', 0.0004717885446985194)]"]	ankle	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [ankld ==> ankle]'}
desature	["[('desaturase', 0.9), ('desaturated', 0.9), ('desaturases', 0.9), ('desaturase.', 0.9)]"]	desaturase	Changed	{'Corrected - Using MultiEdit Probable Candidates [desature ==> desaturase]'}
cyclorsporin	["[('cyclosporin', 6.485065906508858e-06)]"]	cyclosporin	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [cyclorsporin ==> cyclosporin]'}
cyclorsporin	["[('cyclosporin', 6.485065906508858e-06)]"]	cyclosporin	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [cyclorsporin ==> cyclosporin]'}
cyclorsporin	["[('cyclosporin', 6.485065906508858e-06)]"]	cyclosporin	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [cyclorsporin ==> cyclosporin]'}
rgoins	["[('robins', 0.9), ('groins', 0.9), ('rons', 0.9), ('rois', 0.9)]"]	robins	Changed	{'Corrected - Using MultiEdit Probable Candidates [rgoins ==> robins]'}
bacteremis	["[('bacteremia', 2.026583095784018e-06)]"]	bacteremia	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [bacteremis ==> bacteremia]'}
bacteremis	["[('bacteremia', 2.026583095784018e-06)]"]	bacteremia	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [bacteremis ==> bacteremia]'}
sympots	["[('symport', 0.9), ('spots', 0.9), ('symptoms', 0.9), ('symposia', 0.9)]"]	symport	Changed	{'Corrected - Using MultiEdit Probable Candidates [sympots ==> symport]'}
comminted	["[('comminuted', 2.2697730672781004e-05), ('committed', 1.6212664766272145e-06)]"]	comminuted	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [comminted ==> comminuted]'}
comminted	["[('comminuted', 2.2697730672781004e-05), ('committed', 1.6212664766272145e-06)]"]	comminuted	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [comminted ==> comminuted]'}
signl	["[('signs', 4.7422044441346024e-05), ('signal', 2.3103047291937807e-05), ('sign', 1.7428614623742556e-05)]"]	signs	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [signl ==> signs]'}
signl	["[('signs', 4.7422044441346024e-05), ('signal', 2.3103047291937807e-05), ('sign', 1.7428614623742556e-05)]"]	signs	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [signl ==> signs]'}
signl	["[('signs', 4.7422044441346024e-05), ('signal', 2.3103047291937807e-05), ('sign', 1.7428614623742556e-05)]"]	signs	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [signl ==> signs]'}
signl	["[('signs', 4.7422044441346024e-05), ('signal', 2.3103047291937807e-05), ('sign', 1.7428614623742556e-05)]"]	signs	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [signl ==> signs]'}
extcretion	["[('excretion', 8.91696562144968e-06)]"]	excretion	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [extcretion ==> excretion]'}
ssigns	["[('signs', 4.7422044441346024e-05)]"]	signs	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [ssigns ==> signs]'}
incontinenece	["[('incontinence', 2.3103047291937807e-05)]"]	incontinence	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [incontinenece ==> incontinence]'}
incontinenece	["[('incontinence', 2.3103047291937807e-05)]"]	incontinence	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [incontinenece ==> incontinence]'}
incontinenece	["[('incontinence', 2.3103047291937807e-05)]"]	incontinence	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [incontinenece ==> incontinence]'}
incontinenece	["[('incontinence', 2.3103047291937807e-05)]"]	incontinence	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [incontinenece ==> incontinence]'}
incontinenece	["[('incontinence', 2.3103047291937807e-05)]"]	incontinence	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [incontinenece ==> incontinence]'}
vaspopressin	["[('vasopressin', 2.026583095784018e-06)]"]	vasopressin	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [vaspopressin ==> vasopressin]'}
vaspopressin	["[('vasopressin', 2.026583095784018e-06)]"]	vasopressin	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [vaspopressin ==> vasopressin]'}
vaspopressin	["[('vasopressin', 2.026583095784018e-06)]"]	vasopressin	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [vaspopressin ==> vasopressin]'}
regurtitation	["[('regurgitation', 6.890382525665661e-06)]"]	regurgitation	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [regurtitation ==> regurgitation]'}
regurtitation	["[('regurgitation', 6.890382525665661e-06)]"]	regurgitation	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [regurtitation ==> regurgitation]'}
regurtitation	["[('regurgitation', 6.890382525665661e-06)]"]	regurgitation	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [regurtitation ==> regurgitation]'}
thalasemmia	["[('thalassemia', 0.9), ('thalassemias', 0.9), ('thalassemia<', 0.9), ('thalassemia.', 0.9)]"]	thalassemia	Changed	{'Corrected - Using MultiEdit Probable Candidates [thalasemmia ==> thalassemia]'}
thalasemmia	["[('thalassemia', 0.9), ('thalassemias', 0.9), ('thalassemia<', 0.9), ('thalassemia.', 0.9)]"]	thalassemia	Changed	{'Corrected - Using MultiEdit Probable Candidates [thalasemmia ==> thalassemia]'}
thalasemmia	["[('thalassemia', 0.9), ('thalassemias', 0.9), ('thalassemia<', 0.9), ('thalassemia.', 0.9)]"]	thalassemia	Changed	{'Corrected - Using MultiEdit Probable Candidates [thalasemmia ==> thalassemia]'}
thalasemmia	["[('thalassemia', 0.9), ('thalassemias', 0.9), ('thalassemia<', 0.9), ('thalassemia.', 0.9)]"]	thalassemia	Changed	{'Corrected - Using MultiEdit Probable Candidates [thalasemmia ==> thalassemia]'}
incrrease	["[('increase', 3.6478495724112327e-06)]"]	increase	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [incrrease ==> increase]'}
incrrease	["[('increase', 3.6478495724112327e-06)]"]	increase	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [incrrease ==> increase]'}
incrrease	["[('increase', 3.6478495724112327e-06)]"]	increase	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [incrrease ==> increase]'}
incrrease	["[('increase', 3.6478495724112327e-06)]"]	increase	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [incrrease ==> increase]'}
incrrease	["[('increase', 3.6478495724112327e-06)]"]	increase	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [incrrease ==> increase]'}
rtotated	["[('rotated', 4.053166191568036e-06)]"]	rotated	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [rtotated ==> rotated]'}
accordnace	["[('accordance', 5.8614242088542675e-06)]"]	accordance	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [accordnace ==> accordance]'}
