Romain,Romaine,biosample
housefly,house fly,biosample
shimp,shrimp,biosample
pregnacy,pregnancy,biosample
za???tar,zaatar,biosample
suplement,supplement,biosample
kangroo,kangaroo,biosample
kanagroo,kangaroo,biosample
cordon bleu,Cordon bleu,biosample
enivornmental,environmental,biosample
environmenta,environmental,biosample
environmentla,environmental,biosample
evironmental,environmental,biosample
enivronmental,environmental,biosample
enivironmental,environmental,biosample
environmnetal,environmental,biosample
bott,bok,biosample
balogna,bologna,biosample
bolagna,bologna,biosample
malawa,halawa,biosample
chese,cheese,biosample
chees,cheese,biosample
HamCheese,ham cheese,biosample
montecristo,monte cristo,biosample
equip,equipment,biosample
lemongrass,lemon grass,biosample
pomfet,pomfret,biosample
pomfert,pomfret,biosample
pomret,pomfret,biosample
canius,canis,biosample
omlett,omelette,biosample
omellette,omelette,biosample
omellet,omelette,biosample
caeser,ceasar,biosample
cesar,ceasar,biosample
espreso,espresso,biosample
expresso,espresso,biosample
fetuccine,fettuccine,biosample
fettucine,fettuccine,biosample
fetucine,fettuccine,biosample
fettuccini,fettuccine,biosample
capuccino,cappuccino,biosample
cappucino,cappuccino,biosample
capucino,cappuccino,biosample
brocolli,broccoli,biosample
brroccoli,broccoli,biosample
brocoli,broccoli,biosample
brrocoli,broccoli,biosample
zuchini,zucchini,biosample
zucchinni,zucchini,biosample
jucchini,zucchini,biosample
chipolte,chipotle,biosample
macoroni,macaroni,biosample
maccaroni,macaroni,biosample
restauranteur,restaurateur,biosample
sandwitch,sandwich,biosample
caramal,caramel,biosample
cheddre,cheddar,biosample
chedar,cheddar,biosample
chedder,cheddar,biosample
tauris,taurus,biosample
cecum,caecum,biosample
caeca,caecum,biosample
cacum,caecum,biosample
Canus,canis,biosample
Carcase,carcass,biosample
perionitis,peritonitis,biosample
uterius,uterus,biosample
pyhon,python,biosample
Mispelled Word,Probable Word,Domain
cliantro,cilantro,biosample
tautus,taurus,biosample
tauris,taurus,biosample
Boving,bovine,biosample
Porcing,porcine,biosample
porsine,porcine,biosample
Meat and bone mean,Meat and bone meal,biosample
tukey,turkey,biosample
bard fish,barb fish,biosample
Chees,cheese,biosample
deli meet,deli meat,biosample
swib,swab,biosample
swub,swab,biosample
sawb,swab,biosample
imitaton,imitation,biosample
deismillo,diesmillo,biosample
caneloupe,cantaloupe,biosample
cantoloupe,cantaloupe,biosample
chamelion,chameleon,biosample
dani koral,dhani koral,biosample
Utazi,ukazi,biosample
tahinia,tahina,biosample
